ano,mes,ano_mes,corretora,desempenho_mes,desempenho_ano
2019,12,201912,Safra Corretora,6.17,28.43
2019,12,201912,Santander Corretora,12.78,37.85
2019,12,201912,Socopa Corretora,10.16,39.32
2019,12,201912,Terra Investimentos,5.43,47.65
2019,12,201912,XP Investimentos,7.61,39.14
2019,11,201911,Ágora Investimentos,-1.04,23.27
2019,11,201911,Ativa Investimentos,-1.34,17.34
2019,11,201911,BB Investimentos,1.39,26.29
2019,11,201911,Elite Investimentos,-2.25,31.78
2019,11,201911,Genial Investimentos,1.02,20.49
2019,11,201911,Guide Investimentos,3.15,16.7
2019,11,201911,Mirae Corretora,-1.09,9.32
2019,11,201911,Modalmais,4.15,79.32
2019,11,201911,Necton,-1.49,-4.93
2019,11,201911,Nova Futura Investimentos,3.2,54.23
2019,11,201911,Planner Corretora,-0.18,16.91
2019,11,201911,Safra Corretora,-0.75,20.97
2019,11,201911,Santander Corretora,4.53,22.23
2019,11,201911,Socopa Corretora,-0.41,26.47
2019,11,201911,Terra Investimentos,7.79,40.05
2019,11,201911,XP Investimentos,4.98,29.3
2019,10,201910,Ágora Investimentos,3.04,24.57
2019,10,201910,Ativa Investimentos,5.09,18.93
2019,10,201910,BB Investimentos,0.93,24.56
2019,10,201910,Coinvalores Corretora,10.39,34.58
2019,10,201910,Elite Investimentos,9.15,34.81
2019,10,201910,Genial Investimentos,3.87,19.27
2019,10,201910,Guide Investimentos,1.85,13.14
2019,10,201910,Mirae Corretora,1.56,10.53
2019,10,201910,Modalmais,9.17,72.17
2019,10,201910,Necton,-2.75,-3.49
2019,10,201910,Nova Futura Investimentos,5.36,49.45
2019,10,201910,Planner Corretora,3.21,17.13
2019,10,201910,Safra Corretora,4.39,21.89
2019,10,201910,Santander Corretora,-0.32,16.93
2019,10,201910,Socopa Corretora,-2.23,27.0
2019,10,201910,Terra Investimentos,-0.87,29.93
2019,10,201910,XP Investimentos,3.21,23.16
2019,09,201909,Ágora Investimentos,0.96,20.9
2019,09,201909,Ativa Investimentos,3.56,13.17
2019,09,201909,BB Investimentos,2.09,23.41
2019,09,201909,Coinvalores Corretora,0.83,21.91
2019,09,201909,Elite Investimentos,3.11,23.51
2019,09,201909,Genial Investimentos,3.14,14.82
2019,09,201909,Guide Investimentos,-0.33,11.09
2019,09,201909,Mirae Corretora,5.06,8.83
2019,09,201909,Modalmais,7.87,57.7
2019,09,201909,Necton,-0.45,-0.76
2019,09,201909,Nova Futura Investimentos,4.28,41.86
2019,09,201909,Planner Corretora,4.43,13.48
2019,09,201909,Safra Corretora,5.09,16.75
2019,09,201909,Santander Corretora,3.36,17.3
2019,09,201909,Socopa Corretora,4.93,29.89
2019,09,201909,Terra Investimentos,2.23,31.07
2019,09,201909,XP Investimentos,0.23,19.33
2019,08,201908,Ágora Investimentos,-3.12,19.75
2019,08,201908,Ativa Investimentos,-3.08,9.28
2019,08,201908,BB Investimentos,7.79,20.88
2019,08,201908,Coinvalores Corretora,2.49,20.91
2019,08,201908,Elite Investimentos,4.35,19.79
2019,08,201908,Genial Investimentos,-6.41,11.32
2019,08,201908,Guide Investimentos,2.54,11.46
2019,08,201908,Mirae Corretora,-0.06,3.59
2019,08,201908,Modalmais,2.9,46.2
2019,08,201908,Necton,-9.32,-0.31
2019,08,201908,Nova Futura Investimentos,10.04,36.04
2019,08,201908,Planner Corretora,3.98,8.66
2019,08,201908,Safra Corretora,-4.19,11.1
2019,08,201908,Santander Corretora,-2.09,13.49
2019,08,201908,Socopa Corretora,-5.62,23.79
2019,08,201908,Terra Investimentos,1.54,28.2
2019,08,201908,XP Investimentos,0.93,19.06
2019,07,201907,Ágora Investimentos,-0.41,23.6
2019,07,201907,Ativa Investimentos,-4.1,12.75
2019,07,201907,BB Investimentos,3.98,12.14
2019,07,201907,Coinvalores Corretora,3.3,17.97
2019,07,201907,Elite Investimentos,3.25,14.8
2019,07,201907,Genial Investimentos,5.19,18.94
2019,07,201907,Guide Investimentos,4.81,8.7
2019,07,201907,Mirae Corretora,-1.85,3.65
2019,07,201907,Modalmais,-1.99,42.08
2019,07,201907,Necton,2.49,9.93
2019,07,201907,Nova Futura Investimentos,-2.69,23.63
2019,07,201907,Planner Corretora,-2.07,4.5
2019,07,201907,Safra Corretora,-2.59,15.96
2019,07,201907,Santander Corretora,-2.94,15.91
2019,07,201907,Socopa Corretora,2.26,31.15
2019,07,201907,Terra Investimentos,8.72,26.26
2019,07,201907,XP Investimentos,-1.52,17.96
2019,06,201906,Ágora Investimentos,7.89,24.11
2019,06,201906,Ativa Investimentos,5.56,17.57
2019,06,201906,BB Investimentos,3.28,7.85
2019,06,201906,Coinvalores Corretora,3.42,14.2
2019,06,201906,Elite Investimentos,0.0,11.18
2019,06,201906,Genial Investimentos,2.6,13.08
2019,06,201906,Guide Investimentos,1.73,3.72
2019,06,201906,Mirae Corretora,3.81,5.6
2019,06,201906,Modalmais,7.73,44.97
2019,06,201906,Necton,-0.04,7.26
2019,06,201906,Nova Futura Investimentos,1.85,27.04
2019,06,201906,Planner Corretora,3.48,6.71
2019,06,201906,Safra Corretora,6.25,19.04
2019,06,201906,Santander Corretora,3.8,19.42
2019,06,201906,Socopa Corretora,5.73,28.26
2019,06,201906,Terra Investimentos,7.24,16.13
2019,06,201906,XP Investimentos,4.78,19.79
2019,05,201905,Ágora Investimentos,6.23,15.04
2019,05,201905,Ativa Investimentos,-0.02,11.38
2019,05,201905,BB Investimentos,-2.37,4.42
2019,05,201905,Coinvalores Corretora,-3.27,10.42
2019,05,201905,Elite Investimentos,-2.0,11.18
2019,05,201905,Genial Investimentos,6.31,10.22
2019,05,201905,Guide Investimentos,-1.48,1.95
2019,05,201905,Mirae Corretora,-1.98,1.73
2019,05,201905,Modalmais,0.83,34.57
2019,05,201905,Necton,-7.87,7.31
