ano,mes,ano_mes,corretora,descricao
2012,07,201207,Rico Corretora,"Entram: MRV ON, Bradesco PN"
2012,07,201207,Rico Corretora,"Saem: Itaú Unibanco PN, Eztec ON"
2012,07,201207,Santander Corretora,Entram: Multiplan ON
2012,07,201207,Santander Corretora,Saem: Marcopolo PN
2012,07,201207,Souza Barros CCT,Entram: Souza Cruz ON
2012,07,201207,Souza Barros CCT,Saem: Weg ON
2012,07,201207,XP Investimentos,"Entram: Copasa ON, Arteris ON"
2012,07,201207,XP Investimentos,"Saem: Redecard ON, BR Properties ON"
2012,08,201208,Ágora Investimentos,"Entram: Cemig PN, Ljs. Americanas PN, Pão de Açúcar PN"
2012,08,201208,Ágora Investimentos,"Saem: Fleury ON, Anhanguera ON, BR Malls Part. ON"
2012,08,201208,Ativa Investimentos,"Entram: CPFL Energia ON, Gerdau ON, BR Properties ON"
2012,08,201208,Ativa Investimentos,"Saem: CCR ON, Copel PNB, Vale PNA"
2012,08,201208,Citi Corretora,"Entram: Itaú Unibanco PN, Ambev PN, Iguatemi ON, Sabesp ON"
2012,08,201208,Citi Corretora,"Saem: TIM Part. ON, M. Dias Branco ON, CCR ON, MRV ON"
2012,08,201208,Genial Investimentos,Entram: Banco do Brasil ON
2012,08,201208,Genial Investimentos,Saem: Marcopolo PN
2012,08,201208,Guide Investimentos,"Entram: Vale PNA, BR Malls Part. ON, Vanguarda ON, Cemig PN"
2012,08,201208,Guide Investimentos,"Saem: Pão de Açúcar PN, Dasa ON, Paranapanema ON, AES Tietê PN"
2012,08,201208,Planner Corretora,"Entram: Lojas Marisa ON, M. Dias Branco ON, Totvs ON, Arteris ON"
2012,08,201208,Planner Corretora,"Saem: Pão de Açúcar PN, Cemig PN, Vale PNA, PDG Realty ON"
2012,08,201208,Rico Corretora,"Entram: Banco do Brasil ON, Arteris ON"
2012,08,201208,Rico Corretora,"Saem: MRV ON, Bradesco PN"
2012,08,201208,Santander Corretora,Entram: Itaú Unibanco PN
2012,08,201208,Santander Corretora,Saem: CCR ON
2012,08,201208,Souza Barros CCT,Entram: Cia. Hering ON
2012,08,201208,Souza Barros CCT,Saem: Ambev PN
2012,08,201208,XP Investimentos,"Entram: Vale ON, OSX ON"
2012,08,201208,XP Investimentos,"Saem: BRF ON, Copasa ON"
2012,09,201209,Ágora Investimentos,"Entram: Banco do Brasil ON, BR Malls Part. ON, Oi PN"
2012,09,201209,Ágora Investimentos,"Saem: ABC Brasil PN, Cemig PN, Ljs. Americanas PN"
2012,09,201209,Ativa Investimentos,"Entram: CCR ON, Bradespar PN, Magazine Luiza ON, Odontoprev ON"
2012,09,201209,Ativa Investimentos,"Saem: CPFL Energia ON, Itaú Unibanco PN, Gerdau ON, Ambev PN"
2012,09,201209,Citi Corretora,"Entram: TIM Part. ON, Cosan ON, CCR ON, Embraer ON"
2012,09,201209,Citi Corretora,"Saem: Vale PNA, Itaú Unibanco PN, Iguatemi ON, Sabesp ON"
2012,09,201209,Genial Investimentos,"Entram: Gerdau Met. PN, Weg ON"
2012,09,201209,Genial Investimentos,"Saem: Vale PNA, Guararapes ON"
2012,09,201209,Guide Investimentos,"Entram: Petrobras PN, Randon Part. PN, Suzano Papel PNA, Transmissão Paulista PN"
2012,09,201209,Guide Investimentos,"Saem: Eletropaulo PN, BR Malls Part. ON, Vanguarda ON, Cemig PN"
2012,09,201209,Planner Corretora,"Entram: Souza Cruz ON, Duratex ON"
2012,09,201209,Planner Corretora,"Saem: M. Dias Branco ON, Totvs ON"
2012,09,201209,Rico Corretora,"Entram: Gerdau PN, Itaú Unibanco PN, Raia Drogasil ON, Ambev PN"
2012,09,201209,Rico Corretora,"Saem: Banco do Brasil ON, Arteris ON, Cemig PN, BR Malls Part. ON"
2012,09,201209,Santander Corretora,"Entram: CCR ON, Localiza ON, Randon Part. PN"
2012,09,201209,Santander Corretora,"Saem: Pão de Açúcar PN, Multiplan ON, Itaú Unibanco PN"
2012,09,201209,Souza Barros CCT,"Entram: Raia Drogasil ON, BR Malls Part. ON"
2012,09,201209,Souza Barros CCT,"Saem: Cemig PN, Souza Cruz ON"
2012,09,201209,XP Investimentos,"Entram: Cetip ON, Oi PN, IMC Holdings ON"
2012,09,201209,XP Investimentos,"Saem: Arteris ON, SulAmérica UNIT, OSX ON"
2012,10,201210,Ágora Investimentos,"Entram: ABC Brasil PN, Telefônica BR PN, BR Properties ON, Anhanguera ON, BM&FBovespa ON"
2012,10,201210,Ágora Investimentos,"Saem: Banco do Brasil ON, BR Malls Part. ON, Raia Drogasil ON, Oi PN, Pão de Açúcar PN"
2012,10,201210,Ativa Investimentos,"Entram: Technos ON, JBS ON, Kroton UNIT, Vale PNA"
2012,10,201210,Ativa Investimentos,"Saem: CCR ON, Bradespar PN, Magazine Luiza ON, Odontoprev ON"
2012,10,201210,Citi Corretora,"Entram: Petrobras PN, Sabesp ON, BR Properties ON, Gerdau PN"
2012,10,201210,Citi Corretora,"Saem: TIM Part. ON, Cosan ON, CCR ON, Embraer ON"
2012,10,201210,Genial Investimentos,"Entram: Valid ON, Ultrapar ON, Vale PNA"
2012,10,201210,Genial Investimentos,"Saem: Copel PNB, Itaú Unibanco PN, Gerdau Met. PN"
2012,10,201210,Guide Investimentos,"Entram: Cielo ON, ALL ON, Copel PNB, Pão de Açúcar PN, MMX ON"
2012,10,201210,Guide Investimentos,"Saem: Petrobras PN, Randon Part. PN, Suzano Papel PNA, Vale PNA, Transmissão Paulista PN"
2012,10,201210,Planner Corretora,"Entram: Bradesco PN, Telefônica BR PN, Petrobras PN, Fleury ON"
2012,10,201210,Planner Corretora,"Saem: TIM Part. ON, Lojas Marisa ON, Souza Cruz ON, Duratex ON"
2012,10,201210,Rico Corretora,"Entram: Taesa UNIT, OGX Petróleo ON"
2012,10,201210,Rico Corretora,"Saem: Raia Drogasil ON, Ambev PN"
2012,10,201210,Santander Corretora,Entram: Sabesp ON
2012,10,201210,Santander Corretora,Saem: Gerdau PN
2012,10,201210,Souza Barros CCT,Entram: Ambev PN
2012,10,201210,Souza Barros CCT,Saem: Odontoprev ON
2012,10,201210,XP Investimentos,"Entram: Arteris ON, Tractebel ON, Time For Fun ON"
2012,10,201210,XP Investimentos,"Saem: Ultrapar ON, Vale ON, Oi PN"
2012,11,201211,Ágora Investimentos,Entram: —
2012,11,201211,Ágora Investimentos,Saem: —
2012,11,201211,Ativa Investimentos,"Entram: Lojas Renner ON, Itaú Unibanco PN"
